,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
247,@VulkanBetRu,7,0,0,0,0,0,3,4,5,10,2
248,@RuCovid,0,9,5,7,4,0,2,1,0,1,0
249,@DemotosRu,1,6,5,4,5,3,1,1,1,0,0
250,@LVPapy,4,7,3,6,3,0,0,2,3,0,0
251,@memhumorist,2,1,4,2,0,2,8,3,2,5,0
252,@echoprague,3,1,2,1,1,3,0,1,0,0,0
253,@moscowcityduma,3,14,1,3,1,4,0,1,0,0,0
254,@adidaskharkov,1,1,8,3,8,1,0,3,3,1,0
255,@novostivrn,14,5,0,0,0,0,5,0,0,5,2
256,@cinik_pisaka,1,1,8,8,9,0,1,0,0,0,6
257,@msphru,9,1,1,0,0,2,1,5,4,5,2
258,@MedvedevDream,10,5,2,0,1,2,0,4,0,0,2
259,@zloy_umysel,5,3,6,2,1,1,1,1,0,0,0
260,@umhlev,24,4,0,0,0,0,0,0,0,0,2
261,@BMordovo,2,1,1,2,2,2,3,1,4,3,0
262,@atorus,14,0,0,0,0,0,5,2,5,2,2
263,@AlexBobrovSE,5,4,2,3,5,3,1,1,2,0,0
264,@mksait_ivanovo,8,0,0,0,0,0,0,0,0,0,2
265,@Antonsssr,0,2,3,3,1,6,6,4,1,1,0
266,@ikirovru,1,3,7,6,4,2,0,2,1,1,0
267,@shur0123,2,3,3,0,4,5,2,0,1,0,0
268,@lsm_ru,5,6,3,4,0,0,0,0,0,0,0
269,@Business_Mir,5,3,5,0,0,3,1,1,0,1,0
270,@rusepochtimes,5,2,6,5,4,3,0,0,0,0,0
271,@mediacratia_ru,3,3,7,3,3,3,3,2,0,0,0
272,@Bryanosti,5,3,4,3,2,1,2,2,2,1,0
273,@delyagin,6,10,1,0,0,1,0,1,0,0,0
274,@elkis_07,4,5,2,4,2,4,1,1,1,0,0
275,@Alex_D2011,0,5,3,2,1,2,0,1,2,3,0
276,@bankrot_59ru,6,7,5,2,0,1,0,1,0,0,0
277,@RUSFIRE1,0,0,1,26,0,0,0,0,0,0,6
278,@LorMoscow,0,0,0,0,0,5,4,4,6,7,0
279,@ElleGirlRussia,2,6,4,5,4,1,0,2,0,1,0
280,@ElturS,2,2,1,3,1,0,0,1,0,0,0
281,@MOSNEWS_MOSCOW,2,3,1,0,0,1,3,2,4,5,0
282,@lav0604,1,3,2,1,3,0,8,3,2,2,0
283,@PolitiOtbornaya,1,4,3,6,4,3,2,0,0,3,0
284,@News_Sergio,2,0,0,2,0,0,0,0,0,0,6
285,@olegsavchenko9,7,3,5,5,4,1,1,0,0,0,0
286,@UNESCO_russian,2,5,4,4,2,1,0,0,0,0,0
287,@nstarikov,5,3,3,1,6,3,1,1,0,1,0
288,@AntiXBOCT,2,4,2,6,3,0,0,2,2,1,0
289,@krylev_ru,6,1,4,6,1,0,0,1,0,0,6
290,@sAY2tEi2OvxTyz9,4,2,4,2,4,6,1,3,0,0,0
291,@europatv_news,9,3,4,2,7,0,0,0,0,0,2
292,@AlexBiryukov22,2,5,0,5,2,1,0,0,0,0,0
293,@AzattyqRadiosy,2,2,2,2,0,1,0,3,3,3,0
294,@kovalenkoanast5,0,11,8,6,0,0,0,0,0,0,0
295,@realdnepr,2,2,1,0,0,0,0,0,0,0,0
296,@russiaedu1,1,2,4,3,5,3,2,3,0,1,0
297,@6tvby,1,8,11,5,0,0,0,0,0,0,0
298,@luedik,5,7,2,1,2,1,1,1,1,3,0
299,@satira_u,6,0,0,1,0,0,0,0,0,0,2
300,@znamenkanovosh,3,4,4,1,2,4,1,1,1,1,0
301,@alex_sols,0,0,2,1,0,0,0,0,0,0,3
302,@5WPftKqhEDodri2,0,0,0,0,0,3,3,3,4,1,0
303,@scientistkz,3,2,3,3,1,1,0,2,2,0,0
304,@MockvaRu,8,12,1,0,0,0,0,0,0,0,0
305,@sluzhki,0,0,5,5,1,5,3,4,0,1,0
306,@RuslanFokin16,0,0,4,8,12,0,0,0,0,0,1
307,@pavelkorzhavin,6,5,3,3,2,2,1,0,0,0,0
308,@rebus454,2,7,3,1,2,2,4,1,1,1,0
309,@easy_medicine,0,2,11,2,2,0,1,0,1,5,3
310,@Denis_GAN,1,0,1,3,0,1,1,0,0,0,6
311,@covidstat1,0,0,10,4,1,0,0,4,3,2,3
312,@JohnOrdin,1,3,5,4,6,1,2,1,0,1,0
313,@Pressa61,0,0,0,2,0,1,6,2,5,8,0
314,@MrKiselevDmitry,1,10,8,0,1,1,0,1,2,0,0
315,@Furfuroll,3,6,3,0,6,0,0,0,0,0,0
316,@UN_News_RU,6,6,2,0,1,0,0,0,1,0,0
317,@zloy_gnum,2,2,4,1,1,1,1,2,0,1,0
318,@smartputinism,2,5,3,3,6,1,0,0,0,0,0
319,@Alla__Smirnova,10,2,4,1,1,0,0,0,0,0,2
320,@extravalex,1,3,0,0,1,0,0,0,0,1,0
321,@BusinessForecas,1,6,7,3,2,1,2,0,1,0,0
322,@_CEKPET,1,5,2,3,2,1,0,0,0,0,0
323,@20minut,1,0,4,8,6,1,2,1,0,0,6
324,@chelindustry,10,3,2,0,0,0,0,0,0,0,2
